location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2024-12-14,2024-12-14,CEPH-Rtrend_covid,6488,7813,8667,9603,11492,6500,7800,8700,9600,11500,1.9433893556251673,2.3402745122533033,2.59607822829891,2.8764438936603702,3.442267335826822,1.95,2.34,2.61,2.88,3.44,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2024-12-14,2024-12-21,CEPH-Rtrend_covid,5363,7463,8982,10799,14908,5400,7500,9000,10800,14900,1.606411392450335,2.2354369237100222,2.690432057987863,3.2346889105111254,4.465482200009247,1.62,2.25,2.7,3.23,4.46,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2024-12-14,2024-12-28,CEPH-Rtrend_covid,4398,7039,9164,11920,18876,4400,7000,9200,11900,18900,1.3173591840381453,2.108433673589019,2.744947604030369,3.5704687298168922,5.6540409181227895,1.32,2.1,2.76,3.56,5.66,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2024-12-14,2024-12-14,CMU-TimeSeries,4998.918761931141,7527.541645401261,8459.47057193187,11745.719495195486,19059.57341387736,5000,7500,8500,11700,19100,1.4973559666417877,2.2547694678942616,2.533915700326255,3.518265450234575,5.709027758212962,1.5,2.25,2.55,3.5,5.72,Carnegie Mellon Delphi Group,2024-12-11,AR ensemble with auxiliary data
United States,US,1,wk inc covid hosp,hosp,2024-12-14,2024-12-21,CMU-TimeSeries,4888.325282696216,7100.389267897681,9255.869758328789,14344.43551216864,24895.294983085252,4900,7100,9300,14300,24900,1.4642292418657852,2.1268219673285342,2.7724659009539243,4.296674366029621,7.457036263143729,1.47,2.13,2.79,4.28,7.46,Carnegie Mellon Delphi Group,2024-12-11,AR ensemble with auxiliary data
United States,US,2,wk inc covid hosp,hosp,2024-12-14,2024-12-28,CMU-TimeSeries,5043.836897714966,6991.4399576987025,10140.074023610656,17603.07667588286,30243.617629799373,5000,7000,10100,17600,30200,1.5108105638916047,2.0941877303150633,3.037316880816309,5.272754598977252,9.059051260380665,1.5,2.1,3.03,5.27,9.05,Carnegie Mellon Delphi Group,2024-12-11,AR ensemble with auxiliary data
United States,US,0,wk inc covid hosp,hosp,2024-12-14,2024-12-14,CMU-climate_baseline,1526.123106868932,14927.664022201974,26502.02656312473,35982.11067311774,51155.13688140906,1500,14900,26500,36000,51200,0.45712876098376887,4.471372281919866,7.9383101611085145,10.777936324763218,15.322803406423981,0.45,4.46,7.94,10.78,15.34,Carnegie Mellon Delphi Group,2024-12-11,climatological baseline
United States,US,1,wk inc covid hosp,hosp,2024-12-14,2024-12-21,CMU-climate_baseline,1526.5067018364691,12641.081786493032,27560.885949640615,36522.55078249184,51525.94654538593,1500,12600,27600,36500,51500,0.45724366147340867,3.786458660212351,8.255476631647781,10.93981757567421,15.433874237795065,0.45,3.77,8.27,10.93,15.43,Carnegie Mellon Delphi Group,2024-12-11,climatological baseline
United States,US,2,wk inc covid hosp,hosp,2024-12-14,2024-12-28,CMU-climate_baseline,1529.861947928262,9061.67070044543,27117.61699957474,37009.07060728147,51668.44301804204,1500,9100,27100,37000,51700,0.458248678356931,2.7142962983085854,8.122701637930586,11.08554776198691,15.47655705656418,0.45,2.73,8.12,11.08,15.49,Carnegie Mellon Delphi Group,2024-12-11,climatological baseline
United States,US,0,wk inc covid hosp,hosp,2024-12-14,2024-12-14,CovidHub-baseline,7717.299999999999,8117.5,8283,8448.5,8848.7,7700,8100,8300,8400,8800,2.311608920185898,2.431483214285958,2.481056416868567,2.5306296194511755,2.650503913551236,2.31,2.43,2.49,2.52,2.64,CovidHub-hub-models,2024-12-11,CovidHub baseline model
