location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.10,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.90,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.10_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.90_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.10,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.90,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.10_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.90_rounded,rate_quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2025-07-05,2025-07-05,CEPH-Rtrend_covid,2509,2754,3013,3336,3693,4037,4415,2500,2800,3000,3300,3700,4000,4400,0.7434230952867692,0.8160172197767089,0.8927595799517879,0.9884653032589329,1.0942453132299876,1.1961733900648417,1.3081757535636056,0.74,0.82,0.89,0.99,1.09,1.2,1.31,CEPH Lab at Indiana University,2025-07-02,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2025-07-05,2025-07-12,CEPH-Rtrend_covid,2038,2376,2773,3304,3935,4589,5347,2000,2400,2800,3300,3900,4600,5300,0.603864594736722,0.7040148562779449,0.8216469682065408,0.9789836216928998,1.1659505300731117,1.3597323970789097,1.5843297291743144,0.6,0.7,0.82,0.98,1.17,1.36,1.58,CEPH Lab at Indiana University,2025-07-02,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2025-07-05,2025-07-19,CEPH-Rtrend_covid,1685,2077,2555,3237,4091,5009,6125,1700,2100,2600,3200,4100,5000,6100,0.4992697949614214,0.6154203941453248,0.7570530125379417,0.9591313509140185,1.2121737277075222,1.484179467633092,1.81485311224849,0.5,0.62,0.76,0.96,1.21,1.48,1.81,CEPH Lab at Indiana University,2025-07-02,Rtrend COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2025-07-05,2025-07-05,CFA_Pyrenew-Pyrenew_E_COVID,0.00359311562859039,0.003686339510740747,0.00380326858679402,0.00391758642679062,0.00403136125508278,0.004146970168881579,0.00431334622222682,0.0036,0.0037,0.0038,0.0039,0.004,0.0041,0.0043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-02,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2025-07-05,2025-07-12,CFA_Pyrenew-Pyrenew_E_COVID,0.00273051208715042,0.003066215647268561,0.00338388192685631,0.003758973844498,0.00417049346202348,0.004530204653161845,0.0051500213288415,0.0027,0.0031,0.0034,0.0038,0.0042,0.0045,0.0052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-02,Pyrenew_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2025-07-05,2025-07-05,CFA_Pyrenew-Pyrenew_HE_COVID,3371.425,3487.9,3587,3701.5,3825,3945.2,4074,3400,3500,3600,3700,3800,3900,4100,0.9989618210550802,1.0334736604426955,1.0628372430425035,1.096763884895965,1.1333572496898736,1.1689728160722845,1.2071365843755673,1,1.03,1.06,1.1,1.13,1.17,1.21,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-02,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2025-07-05,2025-07-05,CFA_Pyrenew-Pyrenew_HE_COVID,0.0035796129436007,0.0036899604484789926,0.00378661929876509,0.0039055752071408,0.00403792281309839,0.004148033919037577,0.00427480123222554,0.0036,0.0037,0.0038,0.0039,0.004,0.0041,0.0043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-02,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid hosp,hosp,2025-07-05,2025-07-12,CFA_Pyrenew-Pyrenew_HE_COVID,3180,3355,3511,3701,3910.25,4109.2,4370,3200,3400,3500,3700,3900,4100,4400,0.9422421056245223,0.9940950516887648,1.0403182493231753,1.096615733621496,1.158617041986883,1.2175664340982033,1.2948421388613718,0.94,0.99,1.04,1.1,1.16,1.22,1.29,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-02,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2025-07-05,2025-07-12,CFA_Pyrenew-Pyrenew_HE_COVID,0.00273389821548875,0.0030649431470842216,0.00339327447941607,0.00375442168768741,0.00413888781213256,0.004574238622178936,0.0050373095718231,0.0027,0.0031,0.0034,0.0038,0.0041,0.0046,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-02,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,0,wk inc covid hosp,hosp,2025-07-05,2025-07-05,CFA_Pyrenew-Pyrenew_H_COVID,2583,2752,2901.75,3061,3221.25,3380.1000000000004,3579.0249999999996,2600,2800,2900,3100,3200,3400,3600,0.7653494839082203,0.8154246146788318,0.8597959213823765,0.9069821023008373,0.9544645857682366,1.001532245667122,1.0604742302147185,0.77,0.82,0.86,0.91,0.95,1,1.06,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-02,Pyrenew_Hospital_Admissions_COVID
United States,US,1,wk inc covid hosp,hosp,2025-07-05,2025-07-12,CFA_Pyrenew-Pyrenew_H_COVID,2058,2339.7999999999997,2600.75,2862.5,3155,3406.2000000000003,3741.025,2100,2300,2600,2900,3200,3400,3700,0.6097906457154927,0.6932887040063701,0.7706088541518793,0.8481660463365392,0.934834541901059,1.0092657421944176,1.1084752431427605,0.61,0.69,0.77,0.85,0.93,1.01,1.11,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-07-02,Pyrenew_Hospital_Admissions_COVID
