location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2026-03-14,2026-03-14,CEPH-Rtrend_covid,3129,3988,4555,5182,6501,3100,4000,4600,5200,6500,CEPH Lab at Indiana University,2026-03-11,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2026-03-14,2026-03-21,CEPH-Rtrend_covid,2079,3194,4042,5086,7585,2100,3200,4000,5100,7600,CEPH Lab at Indiana University,2026-03-11,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2026-03-14,2026-03-28,CEPH-Rtrend_covid,1354,2499,3486,4834,8476,1400,2500,3500,4800,8500,CEPH Lab at Indiana University,2026-03-11,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2026-03-14,2026-03-14,CFA-EpiAutoGP,3670.1033,4141.7183000000005,4415.5479,4709.9791,5393.9686,3700,4100,4400,4700,5400,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-03-11,EpiAutoGP
United States,US,1,wk inc covid hosp,hosp,2026-03-14,2026-03-21,CFA-EpiAutoGP,2939.0626,3566.0948,3964.4711,4410.7162,5487.1116,2900,3600,4000,4400,5500,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-03-11,EpiAutoGP
United States,US,2,wk inc covid hosp,hosp,2026-03-14,2026-03-28,CFA-EpiAutoGP,2380.9935,3136.6423,3634.3737,4183.7214,5752.3243,2400,3100,3600,4200,5800,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-03-11,EpiAutoGP
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-14,CFA_Pyrenew-Pyrenew_E_COVID,0.0037966900457836795,0.0041402583198879486,0.004326743804731522,0.004523987473755192,0.00494750015771244,0.0038,0.0041,0.0043,0.0045,0.0049,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-03-11,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-21,CFA_Pyrenew-Pyrenew_E_COVID,0.0025815714086803634,0.00344116520853069,0.003977388318770042,0.004586861970042386,0.006307874879169053,0.0026,0.0034,0.004,0.0046,0.0063,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-03-11,Pyrenew_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-14,CFA_Pyrenew-Pyrenew_HE_COVID,0.0036406247513474637,0.004067373198710343,0.004300739313864982,0.0045581758272064355,0.005144213376606381,0.0036,0.0041,0.0043,0.0046,0.0051,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-03-11,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-03-14,2026-03-21,CFA_Pyrenew-Pyrenew_HE_COVID,0.0023803844780674183,0.003362596937184276,0.004002720655025817,0.004851529688285747,0.007418469415428046,0.0024,0.0034,0.004,0.0049,0.0074,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-03-11,Pyrenew_Hospital_Admissions_ED_Visits_COVID
