location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,count_quantile_0.025,count_quantile_0.10,count_quantile_0.25,count_quantile_0.5,count_quantile_0.75,count_quantile_0.90,count_quantile_0.975,count_quantile_0.025_rounded,count_quantile_0.10_rounded,count_quantile_0.25_rounded,count_quantile_0.5_rounded,count_quantile_0.75_rounded,count_quantile_0.90_rounded,count_quantile_0.975_rounded,rate_quantile_0.025,rate_quantile_0.10,rate_quantile_0.25,rate_quantile_0.5,rate_quantile_0.75,rate_quantile_0.90,rate_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.10_rounded,rate_quantile_0.25_rounded,rate_quantile_0.5_rounded,rate_quantile_0.75_rounded,rate_quantile_0.90_rounded,rate_quantile_0.975_rounded,designated_model,ensemble_of_hub_models,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2026-05-09,2026-05-09,CEPH-Rtrend_covid,1044,1197,1363,1579,1822,2064,2339,1000,1200,1400,1600,1800,2100,2300,0.30933986109182426,0.35467415107941924,0.403860374203215,0.46786172477393734,0.5398632441659998,0.6115684610091239,0.6930516619672193,0.31,0.35,0.4,0.47,0.54,0.61,0.69,TRUE,FALSE,CEPH Lab at Indiana University,2026-05-06,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2026-05-09,2026-05-16,CEPH-Rtrend_covid,744,942,1188,1540,1984,2472,3079,740,940,1200,1500,2000,2500,3100,0.22044909641026558,0.27911700110009435,0.35200742813897246,0.4563059253653347,0.5878642570940416,0.7324599009760436,0.9123155481817309,0.22,0.28,0.35,0.46,0.59,0.73,0.91,TRUE,FALSE,CEPH Lab at Indiana University,2026-05-06,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2026-05-09,2026-05-23,CEPH-Rtrend_covid,524,733,1014,1459,2084,2835,3844,520,730,1000,1500,2100,2800,3800,0.1552625356437892,0.2171897683719418,0.3004507846236684,0.4323054189013138,0.6174945119878945,0.8400177262407297,1.1389869981197054,0.16,0.22,0.3,0.43,0.62,0.84,1.14,TRUE,FALSE,CEPH Lab at Indiana University,2026-05-06,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2026-05-09,2026-05-09,CFA-EpiAutoGP,1357.3776,1463.4402,1594.3207,1736.9012,1892.8279,2051.5982,2251.4245,1400,1500,1600,1700,1900,2100,2300,0.40219444275206306,0.43362106147911067,0.4724012872354599,0.5146482528143898,0.560849731471963,0.607893776057698,0.6671028180926533,0.4,0.43,0.47,0.51,0.56,0.61,0.67,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-05-06,EpiAutoGP
United States,US,1,wk inc covid hosp,hosp,2026-05-09,2026-05-16,CFA-EpiAutoGP,1193.5921,1390.9713,1615.8345,1856.7526,2143.2836,2486.1914,2869.4979,1200,1400,1600,1900,2100,2500,2900,0.35366438162289165,0.4121483416903393,0.47877588101281354,0.550160528128241,0.6350603937781467,0.73666484896905,0.8502395419437563,0.35,0.41,0.48,0.55,0.64,0.74,0.85,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-05-06,EpiAutoGP
United States,US,2,wk inc covid hosp,hosp,2026-05-09,2026-05-23,CFA-EpiAutoGP,1077.9089,1331.1905,1638.7599,2019.5978,2490.7759,3069.6053,3869.1346,1100,1300,1600,2000,2500,3100,3900,0.31938715459352596,0.3944351382727549,0.48556873546824886,0.5984119759706455,0.7380232480046587,0.9095318746252181,1.146434444166256,0.32,0.39,0.49,0.6,0.74,0.91,1.15,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC),2026-05-06,EpiAutoGP
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-05-09,2026-05-09,CFA_Pyrenew-Pyrenew_E_COVID,9.894385147176882e-4,0.001041292895789859,0.0010948884665369463,0.00115338461613031,0.0012181555294008908,0.0012823542326911067,0.001359569267038099,9.9e-4,0.001,0.0011,0.0012,0.0012,0.0013,0.0014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-05-06,Pyrenew_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-05-09,2026-05-16,CFA_Pyrenew-Pyrenew_E_COVID,6.031982021195986e-4,7.181192454042706e-4,8.307878855005503e-4,9.920579990700057e-4,0.001170861215202566,0.0013718053712431912,0.0017397855385831082,6e-4,7.2e-4,8.3e-4,9.9e-4,0.0012,0.0014,0.0017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-05-06,Pyrenew_ED_Visits_COVID
United States,US,0,wk inc covid prop ed visits,prop_ed,2026-05-09,2026-05-09,CFA_Pyrenew-Pyrenew_HE_COVID,9.90218339564758e-4,0.001049710567252992,0.0010972738309685342,0.0011604016994392345,0.0012242202444546178,0.001281758275219952,0.0013487187858221869,9.9e-4,0.001,0.0011,0.0012,0.0012,0.0013,0.0013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-05-06,Pyrenew_Hospital_Admissions_ED_Visits_COVID
United States,US,1,wk inc covid prop ed visits,prop_ed,2026-05-09,2026-05-16,CFA_Pyrenew-Pyrenew_HE_COVID,6.197778514453674e-4,7.299722711368396e-4,8.478077218168073e-4,9.9295075317945e-4,0.0011779792978088661,0.001379089840126076,0.0016638522798821539,6.2e-4,7.3e-4,8.5e-4,9.9e-4,0.0012,0.0014,0.0017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2026-05-06,Pyrenew_Hospital_Admissions_ED_Visits_COVID
