location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.1548600950767897,0.2558037160456062,0.5204413628175607,517,854,1737.492053348265,0.15,0.26,0.52,520,850,1700,wk inc covid hosp,hosp,2026-06-20,2026-06-20,2026-06-17,"June 20, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
United States,1,0.1259695910630345,0.2493247800823512,0.6693720992376743,420.5491320878692,832.3700901685364,2234.696905837982,0.13,0.25,0.67,420,830,2200,wk inc covid hosp,hosp,2026-06-27,2026-06-20,2026-06-17,"June 27, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
United States,2,0.09338989684304631,0.26846014992730854,0.8193690792866605,311.7819128543948,896.2534695823058,2735.461409739857,0.09,0.27,0.82,310,900,2700,wk inc covid hosp,hosp,2026-07-04,2026-06-20,2026-06-17,"July 04, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
United States,0,NA,NA,NA,4.240875948698611e-4,8.611794043304282e-4,0.001567393674342799,NA,NA,NA,4.2e-4,8.6e-4,0.0016,wk inc covid prop ed visits,prop_ed,2026-06-20,2026-06-20,2026-06-17,"June 20, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
United States,1,NA,NA,NA,4.0371404058262407e-4,8.385176082932759e-4,0.0018311733975723715,NA,NA,NA,4e-4,8.4e-4,0.0018,wk inc covid prop ed visits,prop_ed,2026-06-27,2026-06-20,2026-06-17,"June 27, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
United States,2,NA,NA,NA,3.6691949700632255e-4,9.86042147368975e-4,0.0023725837090168966,NA,NA,NA,3.7e-4,9.9e-4,0.0024,wk inc covid prop ed visits,prop_ed,2026-07-04,2026-06-20,2026-06-17,"July 04, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Alabama,0,0.3334545856985154,0.6356012236309905,1.094070655284327,16.9973840041077,32.39888888888889,55.76873089490772,0.33,0.64,1.09,20,30,60,wk inc covid hosp,hosp,2026-06-20,2026-06-20,2026-06-17,"June 20, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Alabama,1,0.2967608336704202,0.6397645980167211,1.206566640791539,15.12697099879087,32.611111111111114,61.503057386718,0.3,0.64,1.21,20,30,60,wk inc covid hosp,hosp,2026-06-27,2026-06-20,2026-06-17,"June 27, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Alabama,2,0.2354159338528309,0.6626522582524129,1.384923658811908,12,33.77777777777778,70.59455846405126,0.24,0.66,1.38,10,30,70,wk inc covid hosp,hosp,2026-07-04,2026-06-20,2026-06-17,"July 04, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Alabama,0,NA,NA,NA,6.691684771896772e-4,0.0012500131600867823,0.002159144689687916,NA,NA,NA,6.7e-4,0.0013,0.0022,wk inc covid prop ed visits,prop_ed,2026-06-20,2026-06-20,2026-06-17,"June 20, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Alabama,1,NA,NA,NA,5.151542774545613e-4,0.0012110465414196761,0.0025222573763898316,NA,NA,NA,5.2e-4,0.0012,0.0025,wk inc covid prop ed visits,prop_ed,2026-06-27,2026-06-20,2026-06-17,"June 27, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Alabama,2,NA,NA,NA,5.42601931584263e-4,0.001341649294618745,0.0030958044849284756,NA,NA,NA,5.4e-4,0.0013,0.0031,wk inc covid prop ed visits,prop_ed,2026-07-04,2026-06-20,2026-06-17,"July 04, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Alaska,0,0,0.08641147881654211,0.5438748812989234,0,0.615,3.8708173564413806,0,0.09,0.54,0,1,4,wk inc covid hosp,hosp,2026-06-20,2026-06-20,2026-06-17,"June 20, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Alaska,1,0,0.0976731810634776,0.5864134656767731,0,0.695150773678687,4.173569140702819,0,0.1,0.59,0,1,4,wk inc covid hosp,hosp,2026-06-27,2026-06-20,2026-06-17,"June 27, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Alaska,2,0,0.07727855829121652,0.7726416847071915,0,0.55,5.4989758606464,0,0.08,0.77,0,1,5,wk inc covid hosp,hosp,2026-07-04,2026-06-20,2026-06-17,"July 04, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Alaska,0,NA,NA,NA,1.3312346832962762e-4,5.35892074185961e-4,0.0012238759507182668,NA,NA,NA,1.3e-4,5.4e-4,0.0012,wk inc covid prop ed visits,prop_ed,2026-06-20,2026-06-20,2026-06-17,"June 20, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Alaska,1,NA,NA,NA,8.965159466480018e-5,4.196212402850756e-4,0.0014151690594581207,NA,NA,NA,9e-5,4.2e-4,0.0014,wk inc covid prop ed visits,prop_ed,2026-06-27,2026-06-20,2026-06-17,"June 27, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Alaska,2,NA,NA,NA,1.565138583555857e-4,5.624727018160678e-4,0.0014684277506621583,NA,NA,NA,1.6e-4,5.6e-4,0.0015,wk inc covid prop ed visits,prop_ed,2026-07-04,2026-06-20,2026-06-17,"July 04, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Arizona,0,0.13432182900359793,0.3229605595169553,0.7111126936927856,9.95868219036809,23.944444444444443,52.72222222222222,0.13,0.32,0.71,10,20,50,wk inc covid hosp,hosp,2026-06-20,2026-06-20,2026-06-17,"June 20, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Arizona,1,0.09066874176694105,0.32071257418389065,0.8689741323859411,6.722222222222222,23.77777777777778,64.42614190319458,0.09,0.32,0.87,7,20,60,wk inc covid hosp,hosp,2026-06-27,2026-06-20,2026-06-17,"June 27, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Arizona,2,0.09441538398871548,0.3491870550693763,0.9649138921996925,7,25.88888888888889,71.53915982807561,0.09,0.35,0.96,7,30,70,wk inc covid hosp,hosp,2026-07-04,2026-06-20,2026-06-17,"July 04, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Arizona,0,NA,NA,NA,6.00046768984682e-4,0.0011280735107329076,0.0020650979068981014,NA,NA,NA,6e-4,0.0011,0.0021,wk inc covid prop ed visits,prop_ed,2026-06-20,2026-06-20,2026-06-17,"June 20, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Arizona,1,NA,NA,NA,4.487932333640064e-4,9.986395764942906e-4,0.0023235703625234493,NA,NA,NA,4.5e-4,0.001,0.0023,wk inc covid prop ed visits,prop_ed,2026-06-27,2026-06-20,2026-06-17,"June 27, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
Arizona,2,NA,NA,NA,5.017366866102164e-4,0.0012764164897674693,0.003053768678306086,NA,NA,NA,5e-4,0.0013,0.0031,wk inc covid prop ed visits,prop_ed,2026-07-04,2026-06-20,2026-06-17,"July 04, 2026","June 17, 2026","June 20, 2026",CovidHub-ensemble
