location_name,horizon,rate_quantile_0.025,rate_quantile_0.5,rate_quantile_0.975,count_quantile_0.025,count_quantile_0.5,count_quantile_0.975,rate_quantile_0.025_rounded,rate_quantile_0.5_rounded,rate_quantile_0.975_rounded,count_quantile_0.025_rounded,count_quantile_0.5_rounded,count_quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.185113227770708,0.31031926208811245,0.5429089406705635,618,1036,1812.5,0.19,0.31,0.54,620,1000,1800,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
United States,1,0.1731344076646432,0.354051513309024,0.7001533420467947,578.0087421374461,1182,2337.46,0.17,0.35,0.7,580,1200,2300,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
United States,2,0.13710022488305096,0.3772506814491964,0.9058267186106764,457.70872237544495,1259.4503588062616,3024.1,0.14,0.38,0.91,460,1300,3000,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
United States,0,NA,NA,NA,6.278292410646407e-4,0.00132689860280375,0.0020907645071601,NA,NA,NA,6.3e-4,0.0013,0.0021,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
United States,1,NA,NA,NA,7.001308758143477e-4,0.0015417413949571,0.00246059003702178,NA,NA,NA,7e-4,0.0015,0.0025,wk inc covid prop ed visits,prop_ed,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
United States,2,NA,NA,NA,6.344639106111625e-4,0.00152323194547181,0.00342038152006293,NA,NA,NA,6.3e-4,0.0015,0.0034,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Alabama,0,0.3179377544760473,0.6169868795098251,1.114438322976231,16.20643510093779,31.450048571250814,56.80694444444444,0.32,0.62,1.11,20,30,60,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Alabama,1,0.2899436770647486,0.641812253476786,1.2914164487068522,14.779475916664442,32.71548750194684,65.82815840396809,0.29,0.64,1.29,10,30,70,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Alabama,2,0.2342715508410463,0.7258657960462287,1.6086755479943444,11.941666666666666,37,82,0.23,0.73,1.61,10,40,80,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Alabama,0,NA,NA,NA,6.922626580609747e-4,0.00137974128788659,0.00210239100217358,NA,NA,NA,6.9e-4,0.0014,0.0021,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Alabama,1,NA,NA,NA,7.723011123874329e-4,0.00135769990408531,0.00249622448763413,NA,NA,NA,7.7e-4,0.0014,0.0025,wk inc covid prop ed visits,prop_ed,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Alabama,2,NA,NA,NA,6.65592813050551e-4,0.00158375681470147,0.00353053995366005,NA,NA,NA,6.7e-4,0.0016,0.0035,wk inc covid prop ed visits,prop_ed,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Alaska,0,0,0.23016171923165415,0.7900678569141356,0,1.6380862735607984,5.622999845122164,0,0.23,0.79,0,2,6,wk inc covid hosp,hosp,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Alaska,1,0,0.2591613334161344,1.0738374175517016,0,1.844479717669304,7.642619022831392,0,0.26,1.07,0,2,8,wk inc covid hosp,hosp,2026-07-18,2026-07-11,2026-07-08,"July 18, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Alaska,2,0,0.27142693182284555,1.0913489805983425,0,1.931775330745692,7.767250743306269,0,0.27,1.09,0,2,8,wk inc covid hosp,hosp,2026-07-25,2026-07-11,2026-07-08,"July 25, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
Alaska,0,NA,NA,NA,5.514440826209798e-4,0.0013030413379998,0.00243280634527944,NA,NA,NA,5.5e-4,0.0013,0.0024,wk inc covid prop ed visits,prop_ed,2026-07-11,2026-07-11,2026-07-08,"July 11, 2026","July 08, 2026","July 11, 2026",CovidHub-ensemble
