location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target,target_data_type,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
United States,0,0.32170162884424014,0.580800240529778,0.833031990165731,1074,1939,2781.075,0.32,0.58,0.83,1100,1900,2800,wk inc rsv hosp,hosp,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
United States,1,0.2318408386642848,0.4651793571649021,0.7219266115073976,774,1553,2410.149999999999,0.23,0.47,0.72,770,1600,2400,wk inc rsv hosp,hosp,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
United States,2,0.12625441020283726,0.31016949410447914,0.6866862049584921,421.5,1035.5,2292.5,0.13,0.31,0.69,420,1000,2300,wk inc rsv hosp,hosp,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
United States,0,NA,NA,NA,9.094691356002546e-4,0.0013725056898564862,0.002066940863898704,NA,NA,NA,9.1e-4,0.0014,0.0021,wk inc rsv prop ed visits,prop_ed,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
United States,1,NA,NA,NA,6.1556861342217e-4,0.0011309070249571943,0.002025881429220438,NA,NA,NA,6.2e-4,0.0011,0.002,wk inc rsv prop ed visits,prop_ed,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
Alabama,0,0.0882809751948116,0.24522493109669885,0.5738263387662753,4.5,12.5,29.25,0.09,0.25,0.57,5,10,30,wk inc rsv hosp,hosp,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
Alabama,1,0.0637584820851417,0.20108444349929305,0.5296858511688696,3.25,10.25,27,0.06,0.2,0.53,3,10,30,wk inc rsv hosp,hosp,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
Alabama,2,0.01961799448773591,0.13732596141415138,0.4904498621933977,1,7,25,0.02,0.14,0.49,1,7,30,wk inc rsv hosp,hosp,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
Alabama,0,NA,NA,NA,4.961640735191168e-4,9.918937321609362e-4,0.0017881378857629296,NA,NA,NA,5e-4,9.9e-4,0.0018,wk inc rsv prop ed visits,prop_ed,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
Alabama,1,NA,NA,NA,3.3599520595504047e-4,8.45486732745191e-4,0.0018076539882772194,NA,NA,NA,3.4e-4,8.5e-4,0.0018,wk inc rsv prop ed visits,prop_ed,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
Alaska,0,0.03512661740509842,0.49177264367137785,1.264558226583543,0.25,3.5,9,0.04,0.49,1.26,0,4,9,wk inc rsv hosp,hosp,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
Alaska,1,0.03512661740509842,0.4566460262662794,1.1943049917733461,0.25,3.25,8.5,0.04,0.46,1.19,0,3,9,wk inc rsv hosp,hosp,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
Alaska,2,0,0.3512661740509842,0.9835452873427557,0,2.5,7,0,0.35,0.98,0,3,7,wk inc rsv hosp,hosp,2026-05-16,2026-05-02,2026-04-29,"May 16, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
Alaska,0,NA,NA,NA,6.753623836729416e-4,0.0015829520359545188,0.003060339938902084,NA,NA,NA,6.8e-4,0.0016,0.0031,wk inc rsv prop ed visits,prop_ed,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
Alaska,1,NA,NA,NA,3.6266577915973605e-4,0.0012604235401077945,0.0029131065646394176,NA,NA,NA,3.6e-4,0.0013,0.0029,wk inc rsv prop ed visits,prop_ed,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
Arizona,0,0.25964230596896754,0.48893680994156224,0.8598543898972302,19.25,36.25,63.75,0.26,0.49,0.86,20,40,60,wk inc rsv hosp,hosp,2026-05-02,2026-05-02,2026-04-29,"May 02, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
Arizona,1,0.21243461397460983,0.39789340395244377,0.7890428519056937,15.75,29.5,58.5,0.21,0.4,0.79,20,30,60,wk inc rsv hosp,hosp,2026-05-09,2026-05-02,2026-04-29,"May 09, 2026","April 29, 2026","May 02, 2026",RSVHub-ensemble
