week_ending_date,location,location_name,target,target_data_type,count_value,rate_value
2024-11-09,02,Alaska,wk inc rsv hosp,hosp,5,0.7
2024-11-09,01,Alabama,wk inc rsv hosp,hosp,62,1.22
2024-11-09,05,Arkansas,wk inc rsv hosp,hosp,7,0.23
2024-11-09,04,Arizona,wk inc rsv hosp,hosp,7,0.09
2024-11-09,06,California,wk inc rsv hosp,hosp,117,0.3
2024-11-09,08,Colorado,wk inc rsv hosp,hosp,10,0.17
2024-11-09,09,Connecticut,wk inc rsv hosp,hosp,21,0.58
2024-11-09,11,District of Columbia,wk inc rsv hosp,hosp,15,2.22
2024-11-09,10,Delaware,wk inc rsv hosp,hosp,23,2.24
2024-11-09,12,Florida,wk inc rsv hosp,hosp,426,1.89
2024-11-09,13,Georgia,wk inc rsv hosp,hosp,175,1.59
2024-11-09,15,Hawaii,wk inc rsv hosp,hosp,15,1.08
2024-11-09,19,Iowa,wk inc rsv hosp,hosp,5,0.16
2024-11-09,16,Idaho,wk inc rsv hosp,hosp,2,0.1
2024-11-09,17,Illinois,wk inc rsv hosp,hosp,64,0.51
2024-11-09,18,Indiana,wk inc rsv hosp,hosp,17,0.25
2024-11-09,20,Kansas,wk inc rsv hosp,hosp,1,0.03
2024-11-09,21,Kentucky,wk inc rsv hosp,hosp,25,0.55
2024-11-09,22,Louisiana,wk inc rsv hosp,hosp,50,1.1
2024-11-09,25,Massachusetts,wk inc rsv hosp,hosp,31,0.44
2024-11-09,24,Maryland,wk inc rsv hosp,hosp,75,1.22
2024-11-09,23,Maine,wk inc rsv hosp,hosp,1,0.07
2024-11-09,26,Michigan,wk inc rsv hosp,hosp,40,0.4
2024-11-09,27,Minnesota,wk inc rsv hosp,hosp,14,0.24
2024-11-09,29,Missouri,wk inc rsv hosp,hosp,20,0.32
2024-11-09,28,Mississippi,wk inc rsv hosp,hosp,25,0.85
2024-11-09,30,Montana,wk inc rsv hosp,hosp,0,0
2024-11-09,37,North Carolina,wk inc rsv hosp,hosp,33,0.31
2024-11-09,38,North Dakota,wk inc rsv hosp,hosp,0,0
2024-11-09,31,Nebraska,wk inc rsv hosp,hosp,0,0
2024-11-09,33,New Hampshire,wk inc rsv hosp,hosp,2,0.14
2024-11-09,34,New Jersey,wk inc rsv hosp,hosp,101,1.09
2024-11-09,35,New Mexico,wk inc rsv hosp,hosp,6,0.29
2024-11-09,32,Nevada,wk inc rsv hosp,hosp,9,0.28
2024-11-09,36,New York,wk inc rsv hosp,hosp,179,0.92
2024-11-09,39,Ohio,wk inc rsv hosp,hosp,100,0.85
2024-11-09,40,Oklahoma,wk inc rsv hosp,hosp,0,0
2024-11-09,41,Oregon,wk inc rsv hosp,hosp,4,0.09
2024-11-09,42,Pennsylvania,wk inc rsv hosp,hosp,186,1.44
2024-11-09,72,Puerto Rico,wk inc rsv hosp,hosp,97,2.95
2024-11-09,44,Rhode Island,wk inc rsv hosp,hosp,9,0.82
2024-11-09,45,South Carolina,wk inc rsv hosp,hosp,46,0.86
2024-11-09,46,South Dakota,wk inc rsv hosp,hosp,0,0
2024-11-09,47,Tennessee,wk inc rsv hosp,hosp,91,1.28
2024-11-09,48,Texas,wk inc rsv hosp,hosp,409,1.35
2024-11-09,US,United States,wk inc rsv hosp,hosp,2605,0.77
2024-11-09,49,Utah,wk inc rsv hosp,hosp,8,0.23
2024-11-09,51,Virginia,wk inc rsv hosp,hosp,37,0.43
2024-11-09,50,Vermont,wk inc rsv hosp,hosp,0,0
2024-11-09,53,Washington,wk inc rsv hosp,hosp,13,0.17
2024-11-09,55,Wisconsin,wk inc rsv hosp,hosp,10,0.17
2024-11-09,54,West Virginia,wk inc rsv hosp,hosp,10,0.57
2024-11-09,56,Wyoming,wk inc rsv hosp,hosp,0,0
2024-11-16,02,Alaska,wk inc rsv hosp,hosp,9,1.26
2024-11-16,01,Alabama,wk inc rsv hosp,hosp,81,1.59
2024-11-16,05,Arkansas,wk inc rsv hosp,hosp,21,0.69
2024-11-16,04,Arizona,wk inc rsv hosp,hosp,6,0.08
2024-11-16,06,California,wk inc rsv hosp,hosp,146,0.38
2024-11-16,08,Colorado,wk inc rsv hosp,hosp,18,0.31
2024-11-16,09,Connecticut,wk inc rsv hosp,hosp,27,0.75
2024-11-16,11,District of Columbia,wk inc rsv hosp,hosp,3,0.44
2024-11-16,10,Delaware,wk inc rsv hosp,hosp,26,2.53
2024-11-16,12,Florida,wk inc rsv hosp,hosp,432,1.92
2024-11-16,13,Georgia,wk inc rsv hosp,hosp,299,2.73
2024-11-16,15,Hawaii,wk inc rsv hosp,hosp,26,1.86
2024-11-16,19,Iowa,wk inc rsv hosp,hosp,10,0.31
2024-11-16,16,Idaho,wk inc rsv hosp,hosp,1,0.05
2024-11-16,17,Illinois,wk inc rsv hosp,hosp,82,0.65
2024-11-16,18,Indiana,wk inc rsv hosp,hosp,30,0.44
2024-11-16,20,Kansas,wk inc rsv hosp,hosp,3,0.1
2024-11-16,21,Kentucky,wk inc rsv hosp,hosp,44,0.98
2024-11-16,22,Louisiana,wk inc rsv hosp,hosp,81,1.78
2024-11-16,25,Massachusetts,wk inc rsv hosp,hosp,60,0.86
2024-11-16,24,Maryland,wk inc rsv hosp,hosp,67,1.09
2024-11-16,23,Maine,wk inc rsv hosp,hosp,1,0.07
2024-11-16,26,Michigan,wk inc rsv hosp,hosp,46,0.46
2024-11-16,27,Minnesota,wk inc rsv hosp,hosp,13,0.23
2024-11-16,29,Missouri,wk inc rsv hosp,hosp,36,0.58
2024-11-16,28,Mississippi,wk inc rsv hosp,hosp,46,1.57
2024-11-16,30,Montana,wk inc rsv hosp,hosp,0,0
2024-11-16,37,North Carolina,wk inc rsv hosp,hosp,62,0.58
2024-11-16,38,North Dakota,wk inc rsv hosp,hosp,0,0
2024-11-16,31,Nebraska,wk inc rsv hosp,hosp,2,0.1
2024-11-16,33,New Hampshire,wk inc rsv hosp,hosp,4,0.29
2024-11-16,34,New Jersey,wk inc rsv hosp,hosp,159,1.71
2024-11-16,35,New Mexico,wk inc rsv hosp,hosp,7,0.33
2024-11-16,32,Nevada,wk inc rsv hosp,hosp,12,0.38
2024-11-16,36,New York,wk inc rsv hosp,hosp,265,1.36
2024-11-16,39,Ohio,wk inc rsv hosp,hosp,132,1.12
2024-11-16,40,Oklahoma,wk inc rsv hosp,hosp,6,0.15
2024-11-16,41,Oregon,wk inc rsv hosp,hosp,4,0.09
2024-11-16,42,Pennsylvania,wk inc rsv hosp,hosp,162,1.25
2024-11-16,72,Puerto Rico,wk inc rsv hosp,hosp,134,4.08
2024-11-16,44,Rhode Island,wk inc rsv hosp,hosp,12,1.1
2024-11-16,45,South Carolina,wk inc rsv hosp,hosp,73,1.37
